Segment,Lines,Images
1,I am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation.,"http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=sac6L8bdkD_caM:&imgrefurl=http://realstorypublishing.com/2012/01/16/the-reverend-martin-luther-king-jr-s-i-have-a-dream-speech/&docid=sD4g_GFkKQnZrM&imgurl=http://rspublishing.files.wordpress.com/2012/01/dr-martin-luther-king-i-have-a-dream-speech4.jpg&w=1024&h=811&ei=W1-mT5rYCYbm4QSlnODFCA&zoom=1&iact=hc&vpx=170&vpy=323&dur=312&hovh=200&hovw=252&tx=120&ty=220&sig=102521586380849688489&page=1&tbnh=131&tbnw=152&start=0&ndsp=22&ved=1t:429,r:15,s:0,i:107"
1,I am happy to join with you today in what will go down in history as the greatest demonstration for freedom in the history of our nation.,http://blackcatsgraphics.com/wp-content/uploads/2011/08/freedom_nobk.gif
3,This momentous decree came as a great beacon light of hope to millions of Negro slaves who had been seared in the flames of withering injustice.,http://www.deltakappasigma.net/beacon_of_light.jpg
3,This momentous decree came as a great beacon light of hope to millions of Negro slaves who had been seared in the flames of withering injustice.,http://thefuturebuzz.com/pics/lighthouse/lighthouse.png
6,"But one hundred years later, the Negro still is not free. ",http://mymill.files.wordpress.com/2009/06/slavery.jpg?w=500
6,"But one hundred years later, the Negro still is not free. ",http://robinwoodchurch.wordpress.com/2011/01/20/the-new-slavery-debt/
6,"But one hundred years later, the Negro still is not free. ",http://aaggblog.nashdigital.com/wp-content/uploads/2010/01/red-chained-wrists.jpg
7,"One hundred years later, the Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity. ","http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=YWehooob6ZqiRM:&imgrefurl=http://larrison.blogspot.com/2011/01/i-have-dream-speech.html&docid=FdLz_D4K29IC9M&imgurl=http://1.bp.blogspot.com/_qtLzMsylpK0/TTTi9i6a0HI/AAAAAAAACLU/BsgnjxiCka4/s1600/Lyndon_Johnson_and_Martin_Luther_King%2525252C_Jr._-_Voting_Rights_Act.jpg&w=1600&h=1071&ei=v1-mT_XmN4SL4gTG9cXRCQ&zoom=1&iact=hc&vpx=944&vpy=160&dur=615&hovh=184&hovw=275&tx=133&ty=82&sig=102521586380849688489&page=1&tbnh=145&tbnw=193&start=0&ndsp=18&ved=1t:429,r:4,s:0,i:83"
7,"One hundred years later, the Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity. ",http://blog.travelpod.com/travel-photo/pyres/3/1280781796/desolate-island.jpg/tpod.html
7,"One hundred years later, the Negro is still languished in the corners of American society and finds himself an exile in his own land. ",http://blstb.msn.com/i/B3/1A3DE19CAC9E47568F8FD85B308394.jpg
7,"One hundred years later, the Negro is still languished in the corners of American society and finds himself an exile in his own land. ",http://www.colorlines.com/archival_images/sheptock05_540.jpg
9,And so we've come here today to dramatize a shameful condition.,http://www.flickr.com/photos/19378856@N04/2037098785/
9,And so we've come here today to dramatize a shameful condition.,http://www.abqartists.com/stephen-barnes/images/sadness.jpg
9,And so we've come here today to dramatize a shameful condition.,http://socialter.fr/files/2010/06/100_1931-300x225.jpg
10,In a sense we've come to our nation's capital to cash a check.,http://t0.gstatic.com/images?q=tbn:ANd9GcSB3bKNV_uEzsTgxsuERBAsEkWcJ08ylaTXtMQAEe7SHGcXwIdh
11,"When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir. ",http://images1.wikia.nocookie.net/__cb20110715135121/althistory/images/d/de/Signing-constitution.jpg
11,"When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir. ",http://www.icivics.org/teachers/lesson-plans/constitution-day
11,"When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir. ",http://www.newseum.org/news/2010/12/7968.jpg
12,"This note was a promise that all men, yes, black men as well as white men, would be guaranteed the ""unalienable Rights"" of ""Life, Liberty and the pursuit of Happiness.""",http://kourtneyrichard.com/wp-content/uploads/2011/05/white-guy-glass-and-black-woman-300x214.jpg
13,"It is obvious today that America has defaulted on this promissory note, insofar as her citizens of color are concerned.","http://www.google.com/imgres?q=It+is+obvious+today+that+America+has+defaulted+on+this+promissory+note,+insofar+as+her+citizens+of+color+are+concerned&um=1&hl=en&sa=N&biw=1366&bih=643&tbm=isch&tbnid=6SxY_NTscKkUlM:&imgrefurl=http://www.terrymarshallfiction.com/I-Have-a-Dream.html&docid=snoOP3LkGSTWhM&imgurl=http://www.terrymarshallfiction.com/images/MLK-gesturing-at-March-on-DC.jpg&w=500&h=344&ei=8tWlT_LlJZOq8ASdgt2fAw&zoom=1&iact=hc&vpx=489&vpy=310&dur=442&hovh=149&hovw=206&tx=176&ty=95&sig=102165180490905516554&page=1&tbnh=138&tbnw=186&start=0&ndsp=21&ved=1t:429,r:9,s:0,i:93"
13,"It is obvious today that America has defaulted on this promissory note, insofar as her citizens of color are concerned.",http://www.cashflowhomesnews.com/wp-content/uploads/2010/11/Promissory-Notes.jpg
18,We have also come to this hallowed spot to remind America of the fierce urgency of Now.,http://www.doe.state.la.us/images/headers/091310_urgency.jpg
18,We have also come to this hallowed spot to remind America of the fierce urgency of Now.,http://www.hidden-hills.com/joanboryta/web-images/boryta-hallowed-ground.jpg
19,This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism.,http://richgee.com/wp-content/uploads/2012/01/king-300x215.jpg
19,This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism.,"http://www.google.com/imgres?q=civil+rights+movement&hl=en&gbv=2&tbm=isch&tbnid=yRBGmUGHDYfCiM:&imgrefurl=https://lcrm.lib.unc.edu/blog/index.php/2010/08/27/glenn-beck-to-reclaim-civil-rights-movement/&docid=bf3d7u1V3mCCJM&imgurl=https://lcrm.lib.unc.edu/blog/wp-content/uploads/2010/08/hall_fig01b.jpg&w=650&h=437&ei=XQ-mT7qBJIm1gwfo0swG&zoom=1&iact=hc&vpx=490&vpy=325&dur=66&hovh=184&hovw=274&tx=131&ty=103&sig=109158992789481148432&page=1&tbnh=124&tbnw=170&start=0&ndsp=22&ved=1t:429,r:9,s:0,i:159&biw=1441&bih=647"
19,This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism.,http://www.now.org/images/rounds/racism-circle.gif
20,Now is the time to make real the promises of democracy.,"http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=BB3NgYGleQswMM:&imgrefurl=http://www.teapartytribune.com/2011/01/17/martin-luther-king-i-have-a-dream/&docid=ve-51Wz0V5U-WM&imgurl=http://cdn1.teapartytribune.com/wp-content/uploads/2011/01/i_have_a_dream.jpg&w=500&h=318&ei=Ol-mT4fOF4ej4gTuvr2rCQ&zoom=1&iact=rc&dur=510&sig=102521586380849688489&page=1&tbnh=141&tbnw=191&start=0&ndsp=18&ved=1t:429,r:1,s:0,i:77&tx=93&ty=1"
20,Now is the time to make real the promises of democracy.,http://www.illumemagazine.org/democracy.html
20,Now is the time to make real the promises of democracy.,http://t2.gstatic.com/images?q=tbn:ANd9GcThtel8xyRzvClgfy87hYIOXy_w2iL-tyg29XpyHf1jFaaLhglL5g
23,Now is the time to make justice a reality for all of God's children.,http://2.bp.blogspot.com/-WLTd7_adkOM/Te4_obkoIOI/AAAAAAAAA2c/oRiepc6Xap8/s400/amazing+child.jpg
23,Now is the time to make justice a reality for all of God's children.,http://www.kacc.com/cms/images/stories/all_gods_children.png
23,Now is the time to make justice a reality for all of God's children.,"http://www.google.com/imgres?um=1&hl=en&safe=off&sa=N&rlz=1C1GGGE_enUS355US387&biw=1366&bih=653&tbm=isch&tbnid=gx08d0CWb3GRjM:&imgrefurl=http://www.ctgop.org/2011/01/the-lessons-of-martin-luther-king-jr-still-ring-true/&docid=e7JADgziVBhiRM&imgurl=http://www.ctgop.org/wp-content/uploads/2011/01/I-Am-a-Man2.jpg&w=926&h=536&ei=v1-mT_XmN4SL4gTG9cXRCQ&zoom=1&iact=hc&vpx=729&vpy=166&dur=2&hovh=171&hovw=295&tx=110&ty=56&sig=102521586380849688489&page=1&tbnh=112&tbnw=193&start=0&ndsp=18&ved=1t:429,r:3,s:0,i:81"
